timestamp,Q1_status,Q2_housing_type,Q3_shared_private,Q4_shared_reason,Q5a_proximity,Q5b_transport_access,Q5c_privacy,Q5d_security,Q5e_env,Q5f_prop_value,Q6_on_off_campus,Q7a_proximity,Q7b_transport_access,Q7c_privacy,Q7d_security,Q7e_env,Q7f_prop_value,Q8_current_loc,Q9_prefered_loc,Q10_pay_rent,Q11_rent,Q12_income,Q13_ambassador,Q14_search_platform,Q15_difficulty_search,Q16_before_after,Q17_age,Q4_Loss of housing,Q4_Economic situation,Q4_Providing care for a family member,Q4_Loss of employment,Q4_Temporarily waiting for house or apartment,Q4_Living with partner,Q4_Other
2022/10/19 9:15:39 PM MDT,3.0,1.0,,Temporarily waiting for house or apartment,3.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022/10/19 9:18:19 PM MDT,3.0,3.0,1.0,Providing care for a family member;Other,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,,2.0,1.0,6.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2022/10/19 9:24:18 PM MDT,3.0,1.0,1.0,Economic situation,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/19 9:25:17 PM MDT,1.0,3.0,1.0,Other,4.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/19 9:26:17 PM MDT,3.0,1.0,1.0,Living with partner,4.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022/10/19 9:26:19 PM MDT,1.0,8.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,,1.0,1.0,6.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/19 9:28:32 PM MDT,1.0,8.0,1.0,Other,4.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,,5.0,5.0,2.0,,1.0,1.0,6.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/19 9:29:12 PM MDT,2.0,4.0,1.0,Economic situation;Temporarily waiting for house or apartment,2.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2022/10/19 9:29:29 PM MDT,2.0,1.0,1.0,Living with partner,4.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022/10/19 9:55:43 PM MDT,1.0,5.0,1.0,Economic situation;Other,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2022/10/19 10:07:55 PM MDT,2.0,1.0,2.0,,4.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/19 10:32:03 PM MDT,1.0,4.0,1.0,Economic situation;Other,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2022/10/20 1:51:48 AM MDT,,1.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 4:21:33 AM MDT,1.0,5.0,1.0,Economic situation,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 10:28:42 AM MDT,1.0,,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 1:51:01 PM MDT,1.0,5.0,2.0,,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 3:44:56 PM MDT,2.0,5.0,2.0,,5.0,3.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 7:06:15 PM MDT,1.0,5.0,1.0,Other,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/20 7:06:43 PM MDT,1.0,1.0,1.0,Economic situation;Providing care for a family member,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022/10/20 7:06:59 PM MDT,1.0,1.0,1.0,Other,5.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/20 7:07:10 PM MDT,,8.0,2.0,,,2.0,,,,,2.0,,2.0,,,,,,1.0,,,0.0,3.0,6.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 7:07:14 PM MDT,2.0,1.0,2.0,,4.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20 7:07:49 PM MDT,1.0,5.0,1.0,Other,3.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,,5.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/20 7:08:10 PM MDT,2.0,1.0,1.0,Temporarily waiting for house or apartment,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022/10/20 7:08:19 PM MDT,2.0,2.0,2.0,,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/21 10:41:15 AM MDT,2.0,2.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/21 10:46:10 AM MDT,1.0,5.0,1.0,Economic situation;Other,2.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2022/10/21 6:59:07 PM MDT,2.0,1.0,1.0,Other,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022/10/21 6:59:38 PM MDT,1.0,1.0,1.0,Economic situation;Other,4.0,4.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2022/10/22 8:53:34 AM MDT,2.0,8.0,2.0,,3.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,,2.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 8:39:57 PM MDT,3.0,5.0,2.0,,3.0,4.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 8:44:51 PM MDT,1.0,,1.0,Economic situation,4.0,4.0,1.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 8:45:45 PM MDT,1.0,1.0,2.0,,5.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,1.0,3.0,3.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 9:05:49 PM MDT,2.0,1.0,1.0,Economic situation,3.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 9:07:03 PM MDT,1.0,,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 9:10:21 PM MDT,2.0,8.0,2.0,,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,1.0,6.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 9:11:54 PM MDT,2.0,8.0,2.0,,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,1.0,6.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 9:15:41 PM MDT,1.0,1.0,1.0,Temporarily waiting for house or apartment,4.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022/10/23 9:25:11 PM MDT,2.0,5.0,1.0,Economic situation,3.0,2.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/23 10:36:49 PM MDT,3.0,5.0,1.0,Economic situation,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 5:51:44 AM MDT,3.0,1.0,1.0,Providing care for a family member,3.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022/10/24 12:49:47 PM MDT,1.0,6.0,1.0,Economic situation,5.0,5.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 12:58:51 PM MDT,1.0,6.0,1.0,Economic situation,5.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 6:00:31 PM MDT,2.0,5.0,2.0,,5.0,2.0,3.0,5.0,4.0,1.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 6:03:56 PM MDT,1.0,5.0,1.0,Economic situation;Providing care for a family member,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022/10/24 6:11:01 PM MDT,2.0,2.0,2.0,,3.0,3.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,1.0,5.0,5.0,,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 6:14:22 PM MDT,3.0,2.0,2.0,,5.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 6:17:33 PM MDT,1.0,,2.0,,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/24 6:41:29 PM MDT,1.0,4.0,1.0,Economic situation;Providing care for a family member,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022/10/24 6:49:29 PM MDT,2.0,5.0,2.0,,4.0,5.0,4.0,4.0,2.0,1.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
